ID,Severity,Category,Route,File,Problem,Impact,Evidence,Recommendation,EstimatedEffort,Status
MPR-011,P2 HIGH,API Readiness,All,src/lib,Auth D2 D3 D4 Gather and D5 Chat now have typed backend boundaries but notifications and account lifecycle are still not fully server-backed,Remaining domains cannot yet rely on production-trustworthy backend enforcement end to end,"D1 introduced auth server boundaries, D2 introduced social repositories, D3 introduced presence repositories, D4 introduced Gather repositories, and D5 introduced Chat repositories with D1/D2 policy reuse; reports/backend/D5-REVIEW.md",Continue migrating the remaining domains behind the same typed repository/API boundary,Large,PARTIALLY FIXED
MPR-012,P2 HIGH,Network Resilience,All,src/routes,Network resilience is improved only for migrated domains,D2 mutations now surface typed errors and pending states but the rest of the product still lacks production retry/idempotency handling,"SocialGraphProvider and PrivacyProvider now expose loading/success/error flows around server mutations; non-D2 domains still rely on local/mock flows",Add idempotent mutations timeout/retry policy and offline behavior across remaining backend domains,Large,PARTIALLY FIXED
MPR-013,P2 HIGH,Persistence,Presence/Profile/Privacy/Friends/Gather/Chat,src/lib,Persistence is improved for D2 D3 D4 Gather and D5 Chat in the local server adapter but is not production-durable,Reload now reconstructs Presence Gather and Chat from the server in dev/test yet database-backed persistence is still missing,"D3 reload reconstruction passes without duplicating sessions, D4 Gather reload/cross-user behavior passes, and D5 Chat reload/session-rotation behavior passes 8/8; reports/backend/D5-REVIEW.md",Move Presence Gather Chat and remaining domains to durable backend persistence and add migration/fallback coverage,Medium,PARTIALLY FIXED
MPR-014,P2 HIGH,Testing,Whole app,tests,Automated coverage now extends beyond Gather V2,The original gap is closed because auth D1 D2 and whole-app mobile flows now have dedicated automated coverage,"auth/session suite passes 21/21; D2 adversarial suite passes 17/17; gather functional 21/21; gather visual 12/12; full E2E 141/141",Keep expanding domain-specific security coverage as later backend migrations land,Large,FIXED
MPR-015,P2 HIGH,Visual Regression,Whole app,reports/mobile-review/visual,Mobile visual QA exists only for Gather,Home Nearby Chat Profile Settings and onboarding are not visually guarded,"Whole-app Playwright visual sweep now captures 22 routes at 360/390/430 with no-overflow checks and a final contact sheet in reports/mobile-review/visual/",Add mobile screenshots and overflow checks for all core routes at 360/390/430 plus 320 smoke,Medium,FIXED
MPR-016,P2 HIGH,Accessibility,Whole app,src/components;src/routes,No WCAG audit or automated accessibility suite exists,Keyboard and screen-reader users may be blocked,No axe or focus tests found,Add a11y tests contrast audit focus management and live regions,Medium,Open
MPR-017,P2 HIGH,PWA Mobile Web,Root/Public,public;src/routes/__root.tsx,No manifest service worker install/offline strategy or mobile app metadata,Mobile-web release lacks installability and offline shell,public contains favicon and robots only,Add manifest icons theme metadata SW strategy and install QA,Medium,Open
MPR-018,P2 HIGH,Native Wrapper Readiness,App architecture,src/lib,Native iOS/Android requirements are not modeled,Future wrappers will be blocked by location push deeplink storage and permission policy gaps,No platform abstraction for permissions/push/deeplinks/storage,Introduce platform service interfaces and mobile privacy lifecycle design,Large,Open
MPR-019,P2 HIGH,Performance,Whole app,src,No Web Vitals Lighthouse bundle budget or low-end device profiling,Production performance targets cannot be verified,No LCP INP CLS evidence or budgets,Add performance CI budgets and profile representative mobile routes,Medium,Open
MPR-020,P2 HIGH,SSR Hydration,Root/Gather,src/routes/__root.tsx;src/lib/gather-store.tsx,Hydration warnings were observed in Gather QA seeded localStorage scenarios,Warnings can hide real SSR/client state bugs,Documented in reports/gather-v2-final-qa.md,Stabilize SSR initial theme/store hydration and assert clean console in E2E,Medium,Open
MPR-021,P2 HIGH,Dependency Management,Repo root,package-lock.json;bun.lock,Two package manager lockfiles exist,Install drift can produce different dependency trees,Root contains package-lock.json and bun.lock,Choose one package manager and remove/ignore the other after team agreement,Small,Open
MPR-022,P2 HIGH,Dependency Health,Repo root,node_modules,Installed tree has extraneous packages,CI/local parity and supply-chain review are harder,npm ls --depth=0 reports extraneous packages,Reinstall cleanly in CI and audit dependency tree,Small,Open
MPR-023,P2 HIGH,Metadata SEO Privacy,Root,src/routes/__root.tsx;public/robots.txt,Root metadata still says Lovable App and robots allows all,Private prototype surfaces may be indexed with wrong branding,"Root metadata now uses Fendee branding with noindex/nofollow and public/robots.txt disallows crawling all routes",Update metadata and exclude private app paths from indexing,Small,FIXED
MPR-024,P2 HIGH,Mobile Layout,Whole app,src/components/fendee/AppShell.tsx,Whole app is capped at 430 px and six-tab bottom nav is crowded at very narrow widths,320 px and landscape/tablet usability may be poor,BottomNav includes six tabs plus central action,Validate and adapt nav for 320 orientation tablets and native shells,Medium,Open
MPR-025,P2 HIGH,Forms,Auth/Profile/Gather,src/routes,Forms lack production validation and submit error handling,Users can proceed with invalid or unsaved data,Auth submit prevents default while CTA Link navigates,Use react-hook-form/zod with server errors and disabled/loading states,Medium,Open
MPR-026,P2 HIGH,Observability Analytics,All,src/lib/lovable-error-reporting.ts,Observability is limited to Lovable error reporting,No product funnel crash session or privacy event telemetry exists,Only error boundary reporting hook found,Add privacy-safe analytics and operational logging plan,Medium,Open
MPR-027,P3 MEDIUM,Code Quality,Stores/Components,src/lib/gather-store.tsx;src/components/fendee/gather-v2.tsx,Large files mix domain and UI concerns,Maintenance risk grows as product expands,"Files remain large after Phase C; targeted maintainability improvements landed elsewhere but the referenced files are still oversized",Split domain services selectors fixtures and components,Medium,DEFERRED
MPR-028,P3 MEDIUM,Linting,Repo,eslint.config.js,Unused variable rule is disabled,Dead code and incomplete refactors can accumulate,"@typescript-eslint/no-unused-vars remains off in eslint.config.js; lint is clean aside from existing Fast Refresh warnings",Enable rule with underscore escape convention,Small,DEFERRED
MPR-029,P3 MEDIUM,Type Safety,Tests,tsconfig.json,Playwright tests are not included in TypeScript project checking,Test helper type drift may be missed,"tsconfig.json now includes tests/**/*.ts and playwright.config.ts; npm run typecheck passes",Add test tsconfig or include tests in CI typecheck,Small,FIXED
MPR-030,P3 MEDIUM,Persistence Schema,Presence/Gather,src/lib,No general persisted schema versioning,Gather has partial validation but migrations are missing,"Presence and privacy persisted payloads now carry version fields, but there is still no general migration/test harness across persisted domains",Add versioned codecs and migration tests,Medium,PARTIALLY FIXED
MPR-031,P3 MEDIUM,Assets Privacy,Profiles,src/lib/fendee-data.ts;src/lib/fendee-presence.ts;src/lib/avatar.ts,Avatars are loaded from a third-party placeholder service,User IP/device metadata leaks to external host and reliability depends on third party,"Mock avatars now come from local generated SVG data URIs via src/lib/avatar.ts instead of pravatar.cc",Use owned image CDN with privacy/cache policy,Small,FIXED
MPR-032,P3 MEDIUM,Robots/Indexing,All app paths,public/robots.txt;src/routes/__root.tsx,Robots allow crawling all routes,Prototype/private screens may be indexed,"public/robots.txt now disallows crawling and root metadata applies noindex,nofollow",Disallow app/private paths or use noindex on authenticated surfaces,Small,FIXED
MPR-033,P3 MEDIUM,Notifications,/notifications,src/routes/notifications.tsx,Read/unread state and action completion are not durable,Notification UX can repeat stale prompts,"Notification rows are visually normalized, but read-state and action completion remain local/non-durable",Add read receipts dismiss and action-state sync,Medium,REQUIRES BACKEND
MPR-034,P3 MEDIUM,Time Behavior,Gather/Presence,src/lib,Many display strings are fixed relative labels,Time and expiry copy may become stale after reload or timezone changes,"Mock data still contains fixed relative labels such as startsIn/expiresAt/time; Phase C focused on visual/copy normalization rather than live time formatting",Centralize relative time formatting with server timestamps,Medium,DEFERRED
MPR-035,P3 MEDIUM,Error Handling,Root/Routes,src/routes/__root.tsx;src/routes,Error UI is generic and not route/domain-specific,Users get little recovery guidance for failed product actions,"Phase C added localized route-level empty/denied states and improved root error copy, but there is still no comprehensive domain-specific error handling layer",Add route-level error states and domain-specific recovery,Medium,PARTIALLY FIXED
MPR-036,P3 MEDIUM,Design Tokens,Design system,src/styles.css;src/components/fendee,Contrast and token usage are not formally verified,Visual design may fail accessibility or native parity,"Phase C normalized surfaces, spacing, buttons, inputs, cards, navigation, and typography around shared tokens, but there is still no formal contrast audit or exported token contract",Audit color pairs and export platform token contract,Medium,PARTIALLY FIXED
MPR-037,P4 LOW,Fast Refresh,Dev Experience,src/components;src/lib,Fast Refresh warnings remain,Lowers developer feedback quality but not production runtime,"npm run lint still passes with existing react-refresh warnings only",Split component-only files or suppress intentionally,Small,DEFERRED
MPR-038,P4 LOW,Documentation,Repo,README.md;src/routes/__root.tsx,Some docs and metadata retain scaffold wording,Creates confusion for release and QA handoff,"README.md and root metadata were refreshed to Fendee-specific product language for Phase C closeout",Refresh product docs and app metadata,Small,FIXED
MPR-039,P4 LOW,Repository Hygiene,Repo root,.tmp-gather-vite.*;vite.*.log,Temporary logs are present in project root,Noise in audits and potential accidental commits,"Phase C removed stale .tmp-gather-vite* and vite.*.log files from the repo root",Clean or gitignore runtime logs,Small,FIXED
MPR-040,P4 LOW,Navigation Polish,Bottom nav,src/components/fendee/AppShell.tsx,Six bottom tabs plus central action may feel cramped,Minor tap/readability issue on smallest phones,"Bottom navigation spacing, labels, and touch targets were normalized and passed the 360/390/430 screenshot sweep, but the six-item layout still remains",Consider prioritizing five tabs or overflow menu after testing,Small,PARTIALLY FIXED
